Año de publicación,Código sugerido,Nombre del archivo,Título del estudio,Categoría,Tipo de documento,Subcategoría,Idioma,Número de páginas,Incorpora perspectiva de género,Año de término,Lugar de término,Palabras clave,Objetivo,Metodología,Resumen,Documento público,Publicación destacada,Publicado,Editorial,Entidad solicitante,Entidad a cargo del estudio,Investigador u organismo principal,Equipo de investigación,Número de documento administrativo,Tipo de financiamiento,Costo del estudio,Base de datos enviada,Base pública,Url,Autoría
1999,E99-0000,Mercado Laboral en Docencia,Análisis del Mercado de Servicios de Docencia de Educación General y Proyección a 10 años,Estudios,Informe,Docentes,Español,123,No,1999,"Santiago, Chile",Política Educativa; Práctica Docente; Mercado Laboral.,"Desarrollar un modelo para obtener proyecciones del mercado laboral de los docentes para los próximos 10 años, considerando de manera particular los aspectos relativos a los efectos de la Reforma Educacional.",Mixta,"La primera etapa de la investigación se hizo una caracterización cualitativa y cuantitativa de la situación para el año base de la investigación (1996), en una segunda etapa se describió los antecedentes y componentes claves de la Reforma Educacional en curso y se presentó el modelo de proyección, especificando tanto las ecuaciones que lo componen como los parámetros sobre los cuales se requiere realizar los supuestos y las fuentes de información a utilizar en cada caso.",Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"Facultad de Ciencias Económicas y Administrativas, U. de Chile","Bravo, David","Ruiz-Tagle, Jaime; Sanhueza, Ricardo",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17636/E99-0001.pdf?sequence=1&isAllowed=y,"Bravo, David; Ruiz-Tagle, Jaime; Sanhueza, Ricardo"
2000,E00-0001,Evaluación Resultados ENLACES,Diseño de un modelo de evaluación de resultados proyecto Enlaces,Estudios,Informe,TIC,Español,53,No,2000,"Santiago, Chile",Estándares; Evaluación; Informática educativa; Tecnología.,El objetivo general de esta consultoría fue asesorar a los encargados del Programa Red Enlaces en la formulación de un diseño de estudio que permita evaluar los resultados de la Red sobre los aprendizajes de los alumnos de enseñanza básica y media.,Cualitativa,"Se presenta una serie de antecedentes que deben tomarse en consideración a la hora de evaluar los resultados de un programa de informática educativa; luego se muestran los resultados de la exploración de datos secundarios (existentes) en el MINEDUC y el programa Enlaces, con el fin de identificar posibles efectos que la primera fase del programa sobre los aprendizajes de los alumnos; a continuación se reflexiona sobre dimensiones y variables importantes de considerar en una evaluación de impacto de iniciativas de informática educativa sobre el aprendizaje escolar de niños y jóvenes, con el fin de orientar futuras evaluaciones en esta línea. Finalmente, se presenta lineamientos y recomendaciones para el diseño de una evaluación de impacto del programa ENLACES en su nueva fase, proponiendo algunas estrategias metodológicas concretas de evaluación.",Si,No,No,Sin información,Enlaces; Ministerio de Educación de Chile; MINEDUC,Asesorías para el Desarrollo,"Raczynski, Dagmar","Pavez, M. Angélica",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17725/E00-0001.pdf?sequence=1&isAllowed=y,"Raczynski, Dagmar; Pavez, M. Angélica"
2001,E01-0001,Focalización Becas Liceos Para Todos CC,Focalización de Becas del Programa Liceo para Todos: Un Estudio Caso-Control,Estudios,Informe,Monitoreo y evaluación,Español,30,No,2001,"Santiago, Chile",Vulnerabilidad; Política educativa; Subvención; Deserción escolar.,Encontrar los factores de riesgo asociados al retiro escolar que son explicados por la situación socio-económica y académica del alumno y no por el entorno social de su establecimiento.,Cuantitativa,El presente es el segundo de dos estudios y tiene como principal objetivo encontrar los factores de riesgo asociados al retiro escolar que son explicados por la situación socio-económica y académica del alumno y no por el entorno social de su establecimiento. El primer estudio fue de corte ecológico con información a nivel de establecimiento y se estudiaron los factores macro sociales que determinan esta conducta.,Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"Departamento de Salud Pública, PUC","Marshall, Guillermo","Correa, Lorena",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17736/E01-0001.pdf?sequence=1&isAllowed=y,"Marshall, Guillermo; Correa, Lorena"
2001,E01-0002,Focalización Becas Liceos Para Todos ECO,Focalización de Becas del Programa Liceo para Todos: Un Estudio Ecológico,Estudios,Informe,Monitoreo y evaluación,Español,61,No,2001,"Santiago, Chile",Vulnerabilidad; Política educativa; Subvención; deserción escolar.,"Evaluar la selección de los establecimientos donde se focalizaron las becas el primer año, y estudiar los factores macro sociales que están asociados al retiro escolar.",Cuantitativa,"El presente estudio tiene como principal objetivo evaluar la selección de los establecimientos donde se focalizaron las becas el primer año, y estudiar los factores macro sociales que están asociados al retiro escolar. Por consistir en un estudio de tipo ecológico donde la información analizada está agregada a nivel de establecimiento, es necesario ser cautos en inferir a nivel de individuos las asociación encontradas a nivel de establecimientos. Un estudio realizado paralelamente de tipo casocontrol a nivel de individuos permitirá reforzar la información aquí encontrada.",Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"Departamento de Salud Pública, PUC","Marshall, Guillermo","Correa, Lorena",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17747/E01-0002.pdf?sequence=1&isAllowed=y,"Marshall, Guillermo; Correa, Lorena"
2001,E01-0003,OFT Educación Media,Objetivos Fundamentales Transversales en la Enseñanza Media: La mirada de los Profesores,Estudios,Informe,Currículo,Español,61,No,2001,"Santiago, Chile",Objetivos Fundamentales Transversales; Currículum; Educación Media.,"Describir el nivel de comprensión y valoración que presentan los docentes de primero y segundo año de Enseñanza Media de los liceos con Proyecto Educativo fuerte y débil de la Región Metropolitana, respecto a la propuesta de los Objetivos Fundamentales Transversales y cómo la están implementando en los diversos subsectores de aprendizaje, durante el año 2001.",Cualitativa,"En este informe se presenta una descripción de las principales evidencias del estudio. En el anexo, se encuentran los resultados parciales que se obtuvieron de la información recogida a partir de las dimensiones de análisis y una codificación abierta de los datos de los cuatro subsectores de ambos tipos de establecimientos.",Si,Si,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"UCE, MINEDUC","Fernández, Carolina","Jashes, Jessana",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17757/E01-0003.pdf?sequence=1&isAllowed=y,"Fernández, Carolina; Jashes, Jessana"
2001,PPT01-0004,Focalización Becas Liceos Para Todos PPT,Focalización e Impacto Programa de Becas Liceo para Todos,Estudios,Presentación,Monitoreo y evaluación,Español,29,No,2001,"Santiago, Chile",Vulnerabilidad; Política educativa; Subvención; Deserción escolar.,Encontrar los factores de riesgo asociados al retiro escolar que son explicados por la situación socio-económica y académica del alumno y no por el entorno social de su establecimiento.,Cuantitativa,Pertenece al estudio Focalización de Becas del Programa Liceo para Todos: Un Estudio Caso-Control E01-0004.,Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"Departamento de Salud Pública, PUC","Marshal, Guillermo","Correa, Lorena",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17758/PPT01-0004.pdf?sequence=1&isAllowed=y,"Marshal, Guillermo; Correa, Lorena"
2002,EV02-0001,Evaluación Asistencia Técnica ENLACES Consolidado,Evaluación de Asistencia Técnica de la Red Enlaces. Informe final. Consolidado Nacional,Evaluaciones,Informe,Monitoreo y evaluación,Español,75,No,2002,"Santiago, Chile",Informática; Innovación; TICs; Evaluación.,"El informe no especifíca el objetivo del estudio, pero se infiere que es evaluar la asistencia técnica de la red ENLACES, en específico su modalidad Tradicional del año 2000, esto a partir de una encuesta.",Cuantitativa,"En el marco del proyecto ""Evaluación de Asistencia Técnica a la red ENLACES para el año 2001"" este informe describe los datos obtenidos para la modalidad Tradicional 2000.",Si,No,No,Sin información,Enlaces; Ministerio de Educación de Chile; MINEDUC,Asinsa,Asesorías para el Desarrollo,Asesorías para el Desarrollo; Asesorías para el Desarrollo,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17759/EV02-0001.pdf?sequence=1&isAllowed=y,Asesorías para el Desarrollo
2002,EV02-0002,Evaluación Asistencia Técnica ENLACES Rural,Evaluación de Asistencia Técnica de la Red Enlaces. Informe final. ENLACES Rural,Evaluaciones,Informe,Monitoreo y evaluación,Español,33,No,2002,"Santiago, Chile",Informática; Innovación; TICs; Evaluación; Ruralidad.,"El informe no especifíca el objetivo del estudio, pero se infiere que es evaluar la asistencia técnica de la red ENLACES, en específico su Modalidad Rural, vale decir, Centro Zonal Universidad de la Frontera para su proyecto Rural, mediante una encuesta.",Cuantitativa,"En el marco del proyecto ""Evaluacion de Asistencia Técnica a la red ENLACES para el año 2001"" este informe describe los datos obtenidos para la Modalidad Rural, vale decir, Centro Zonal Universidad de la Frontera.",Si,No,No,Sin información,Enlaces; Ministerio de Educación de Chile; MINEDUC,Asinsa,Asesorías para el Desarrollo,Asesorías para el Desarrollo; Asesorías para el Desarrollo,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17760/EV02-0002.pdf?sequence=1&isAllowed=y,Asesorías para el Desarrollo
2002,EV02-0003,Evaluación Asistencia Técnica ENLACES Zonal UCV,Evaluación de Asistencia Técnica de la Red Enlaces. Centro Zonal Universidad Católica de Valparaíso,Evaluaciones,Informe,Monitoreo y evaluación,Español,34,No,2002,"Santiago, Chile",Informática; Innovación; TIC; Evaluación.,"El informe no especifíca el objetivo del estudio, pero se infiere que es evaluar la asistencia técnica de la red ENLACES, en específico su modalidad Tradicional, específicamente para el Centro Zonal Universidad de Valparaíso, esto a partir de una encuesta.",Cuantitativa,"En el marco del proyecto ""Evaluación de Asistencia Técnica a la red ENLACES para el año 2001"" este informe describe los datos obtenidos para la modalidad Tradicional 2000 y específicamente para el Centro Zonal Universidad de Valparaíso.",Si,No,No,Sin información,Enlaces; Ministerio de Educación de Chile; MINEDUC,Asinsa,Asesorías para el Desarrollo,Asesorías para el Desarrollo; Asesorías para el Desarrollo,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17761/EV02-0003.pdf?sequence=1&isAllowed=y,Asesorías para el Desarrollo
2002,EV02-0004,Evaluación Asistencia Técnica ENLACES Resumen Global,Evaluación de Asistencia Técnica de la Red Enlaces. Resumen Global,Evaluaciones,Informe,Monitoreo y evaluación,Español,23,No,2002,"Santiago, Chile",Informática; Innovación; TICs; Evaluación; Ruralidad.,"El objetivo de este informe es consolidar los resultados finales de las tres modalidades del proyecto ""Evaluación de Asistencia Técnica a la red ENLACES para el año 2001"".",Cuantitativa,"Este informe entrega los resultados finales del proyecto ""Evaluación de Asistencia Técnica a la red ENLACES para el año 2001"", que ASINSA S.A. y Asesorías para el Desarrollo efectuaron durante los meses de Noviembre del 2001 y Enero del 2002, se muestran los resultados de las tres modalidades; ""ENLACES tradicional ingreso 1999 - 2000"", ""ENLACES Montegrande"" y ""ENLACES Piloto Rural"".",Si,No,No,Sin información,Enlaces; Ministerio de Educación de Chile; MINEDUC,Asinsa,Asesorías para el Desarrollo,Asesorías para el Desarrollo; Asesorías para el Desarrollo,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17762/EV02-0004.pdf?sequence=1&isAllowed=y,Asesorías para el Desarrollo
